Time,TradingStrategy,BuyAndHold
348,171670,172734
349,173021,174290
350,171593,173078
351,171012,172633
352,171300,172782
353,170653,172248
354,170851,172335
355,170797,172220
356,172002,172863
357,170547,171963
358,170104,171946
359,170500,172127
360,171458,173125
361,171865,173441
362,170345,172748
363,169630,172314
364,170978,172958
365,172372,174002
366,170615,172672
367,170984,172624
368,171367,173223
369,172004,173803
370,171591,173326
371,170547,172919
372,171811,173560
373,172670,174466
374,171225,173350
375,169898,172365
376,170731,172931
377,172654,174097
378,174263,175341
379,174352,175401
380,175051,176236
381,173916,175684
382,175912,177313
383,176077,177542
384,176012,177652
385,174182,176530
386,177095,179008
387,176318,177853
388,177736,178984
389,177465,178572
390,178948,180806
391,179549,180500
392,178210,179611
393,179926,180765
394,180137,180472
395,180103,180657
396,179622,180167
397,180169,180622
398,180495,181249
399,179222,180313
400,179582,180637
401,179915,181432
402,179896,181856
403,179880,182389
404,177914,180741
405,177502,180405
406,178953,181955
407,178121,181598
408,179052,182225
409,178149,181199
410,179649,182389
411,177654,180307
412,179315,181640
413,176915,179364
414,176871,179526
415,176837,179838
416,176957,179613
417,176161,179075
418,177650,180220
419,178631,180365
420,180245,181175
421,180533,181558
422,179223,179595
423,179443,179722
424,178411,178496
425,179268,178653
426,180352,179617
427,179817,179163
428,181043,180214
429,178968,179465
430,178369,179223
431,177627,178586
432,177898,178941
433,178522,179313
434,181033,181491
435,180467,180789
436,180416,181134
437,178920,179684
438,177867,178575
439,177535,178431
440,177063,177956
441,178965,179099
442,179253,179516
443,181097,180970
444,181930,181602
445,181584,181828
446,180833,180628
447,181735,181664
448,181011,181487
449,180491,181423
450,180839,181104
451,181094,181117
452,182457,182669
453,182182,183368
454,182690,183544
455,181638,182925
456,182707,183771
457,182825,183391
458,182928,183349
459,181977,181793
460,181891,181452
461,181834,181280
462,182419,181657
463,181776,180935
464,182246,181911
465,183236,181728
466,183936,181627
467,183675,181232
468,183411,180627
469,183407,180317
470,184120,180585
471,184169,180393
472,184011,180329
473,184978,180752
474,186851,181596
475,186271,181532
476,186254,181863
477,184533,180779
478,185754,181665
479,185719,181990
480,185926,181530
481,186368,181777
482,187630,183076
483,187896,183408
484,188432,183234
485,189775,183607
486,191712,184930
487,192496,185826
488,191337,185276
489,192293,186177
490,191141,185337
491,191997,186334
492,190808,186072
493,190002,184620
494,188774,183731
495,190142,184985
496,188506,183276
497,188235,182761
498,190488,183869
499,188627,181621
500,189264,182584
501,187332,181576
502,184732,179547
503,185190,180430
504,187717,182272
505,186516,181563
506,185717,181292
507,183365,180278
508,183514,180059
509,185062,180600
510,184296,180122
511,184780,180275
512,184747,180631
513,185496,181454
514,186207,181487
515,186264,181631
516,186942,182431
517,189368,184225
518,186681,182276
519,184718,181059
520,184629,181167
521,186036,182235
522,187246,183298
523,187320,183649
524,187543,184539
525,186417,184495
526,188597,185321
527,187279,183895
528,186577,183832
529,188032,184386
530,186582,183415
531,185203,181857
532,186702,183109
533,190121,186050
534,189020,185032
535,189667,184619
536,187911,183567
537,186727,182448
538,185239,181578
539,184345,181127
540,182810,179824
541,182616,179855
